Year,Month,Species,Type,Pounds,Trips,Value,Dealers,Season
2002,1,BC,H,51659.5,261,47924.16281,23,1
2002,1,SC,C,47768.16,436,309218.111,31,1
2002,2,BC,H,47594.1,257,43626.44,24,1
2002,2,SC,C,26193.58,322,173014.72,28,1
2002,3,BC,H,69398.5,331,70549.41208,27,1
2002,3,SC,C,31249.29,330,201308.52,24,1
2002,4,BC,H,73105.4,379,78542.95849,31,2
2002,4,BC,S,85.5,4,711.36,1,2
2002,4,SC,C,12082.02,223,78735.955,21,2
2002,5,BC,H,63934.9,420,69806.53,31,2
2002,5,BC,S,165.25,8,1309.58,1,2
2002,5,SC,C,6517.34,112,43509.38723,16,2
2002,6,BC,H,53837.4,370,58586.18,29,2
2002,6,BC,S,29.25,5,51.52078018,1,2
2002,7,BC,H,44673.5,285,49897.605,24,3
2002,8,BC,H,33566.9,247,35864.44,23,3
2002,9,BC,H,34210,217,37579.35,21,3
2002,10,BC,H,32919.38,210,34370.09047,23,4
2002,10,BC,S,60,4,360,1,4
2002,10,SC,C,50667.35,472,407593.9047,34,4
2002,11,BC,H,29001.53,182,30889.08027,25,4
2002,11,BC,S,75,5,450,1,4
2002,11,SC,C,82048.34,707,695739.7246,36,4
2002,12,BC,H,23998.64,147,23197.975,23,4
2002,12,BC,S,390,4,358.8,1,4
2002,12,SC,C,95410.15,656,757679.47,36,4
2003,1,BC,H,28117.27,197,28137.3,25,1
2003,1,SC,C,52818.3,502,412545.6525,34,1
2003,2,BC,H,38552.85,252,43526.9325,29,1
2003,2,BC,S,15,1,90,1,1
2003,2,SC,C,36461.61,409,293949.3308,30,1
2003,3,BC,H,58709.4,343,61413.418,28,1
2003,3,BC,S,57,4,378,2,1
2003,3,SC,C,21886,354,184348.9445,30,1
2003,4,BC,H,59691.96,350,62233.89468,30,2
2003,4,BC,S,57,4,342,1,2
2003,4,SC,C,22272.65,353,193423.885,27,2
2003,5,BC,H,76219.53,419,87638.1375,32,2
2003,5,BC,S,90,5,540,1,2
2003,5,SC,C,6319.76,138,56566.20945,22,2
2003,6,BC,H,69290.75,363,75454.78776,29,2
2003,6,BC,S,90,4,540,1,2
2003,7,BC,H,70626.19,354,77815.08572,29,3
2003,7,BC,S,45,4,270,1,3
2003,8,BC,H,77226.75,378,83179.86477,30,3
2003,8,BC,S,36,3,216,1,3
2003,9,BC,H,68552.94,344,75493.19686,29,3
2003,9,BC,S,120,5,756,2,3
2003,10,BC,H,74841.59,387,81264.18961,33,4
2003,10,BC,S,33,2,198,1,4
2003,10,SC,C,36879.34,392,330472.4454,34,4
2003,11,BC,H,58475.23,321,63234.74137,28,4
2003,11,SC,C,51672.35,533,491168.845,34,4
2003,12,BC,H,44644.21,246,46754.72202,26,4
2003,12,SC,C,35169.96,426,331663.8025,34,4
2004,1,BC,H,58796.35,302,58218.99474,30,1
2004,1,SC,C,20707.88,317,188885.7957,31,1
2004,2,BC,H,64512.435,320,65540.45225,31,1
2004,2,SC,C,30551.01,388,289183.9469,32,1
2004,3,BC,H,85314.92,397,91926.30624,29,1
2004,3,BC,S,221.25,25,673.75,3,1
2004,3,SC,C,15693.54,291,150657.0612,28,1
2004,4,BC,H,77807.63,355,86519.96578,31,2
2004,4,BC,S,126,4,756,1,2
2004,4,SC,C,13252.81,259,130827.7938,26,2
2004,5,BC,H,62053.485,385,68124.56262,28,2
2004,5,BC,S,99,4,594,1,2
2004,5,SC,C,9293.26,161,92257.08,23,2
2004,6,BC,H,71185,378,78215.3461,28,2
2004,6,BC,S,90,4,540,1,2
2004,7,BC,H,71297.5,418,81815.43,26,3
2004,7,BC,S,262.5,6,1969.5,3,3
2004,8,BC,H,82019.5,394,91873.50096,28,3
2004,8,BC,S,54,2,360.72,1,3
2004,9,BC,H,62975.62,329,71182.39872,25,3
2004,9,BC,S,24,2,160.32,1,3
2004,10,BC,H,66694.72,367,75901.61007,33,4
2004,10,BC,S,3,1,20.04,1,4
2004,10,SC,C,86304.31,473,799575.8492,33,4
2004,11,BC,H,45173.77,278,47938.4455,29,4
2004,11,BC,S,126.8,2,1118.9,2,4
2004,11,SC,C,192399.18,1045,1604789.79,40,4
2004,12,BC,H,33727.31,212,34379.794,27,4
2004,12,SC,C,74339.83,637,569079.55,33,4
2005,1,BC,H,41804.57,278,44123.818,27,1
2005,1,SC,C,12041.98,245,102517.5825,26,1
2005,2,BC,H,49818.07,309,54942.2725,26,1
2005,2,SC,C,8942.05,170,75311.30081,25,1
2005,3,BC,H,71973.35,334,76922.9625,28,1
2005,3,SC,C,9493.35,185,79671.903,22,1
2005,4,BC,H,87848.12,404,97469.38339,31,2
2005,4,BC,S,150,5,900,1,2
2005,4,SC,C,7647.2,176,70549.3875,18,2
2005,5,BC,H,85716.14,430,94093.112,31,2
2005,5,BC,S,264,5,2034,2,2
2005,5,SC,C,3399.26,81,29821.5425,17,2
2005,6,BC,H,73851.53,388,80781.168,26,2
2005,6,BC,S,13.5,1,108,1,2
2005,7,BC,H,79169.47,386,87463.8483,28,3
2005,7,BC,S,7.75,5,38.75,1,3
2005,8,BC,H,94211.85,460,103706.6573,33,3
2005,8,BC,S,48.5,1,436.5,1,3
2005,9,BC,H,104351.53,488,115073.4975,33,3
2005,9,BC,S,316.5,2,2863.5,2,3
2005,10,BC,H,91153,446,101039.4768,36,4
2005,10,SC,C,29061.41,276,296841.8175,30,4
2005,11,BC,H,63507.06,340,67305.467,29,4
2005,11,SC,C,32997.02,381,329550.2375,27,4
2005,12,BC,H,63742.24,340,67729.8595,29,4
2005,12,SC,C,34024.86,368,328454.43,27,4
2006,1,BC,H,68666.56,363,74099.588,30,1
2006,1,SC,C,28896.12,268,267235.83,20,1
2006,2,BC,H,76367.78,374,81716.016,34,1
2006,2,SC,C,15753.24,252,154833.965,24,1
2006,3,BC,H,103948.35,513,114322.1625,38,1
2006,3,SC,C,9252.26,192,96516.855,18,1
2006,4,BC,H,105398.66,508,113543.485,40,2
2006,4,SC,C,7133.37,173,78165.18,14,2
2006,5,BC,H,111629.19,521,123972.288,40,2
2006,5,SC,C,3816.41,94,42362.285,11,2
2006,6,BC,H,101129.7,440,106779.2125,34,2
2006,7,BC,H,86148.7,401,95721.689,32,3
2006,8,BC,H,91047.43,461,101447.8735,32,3
2006,9,BC,H,86907.6,420,96571.53,34,3
2006,10,BC,H,82088.75,422,91309.6525,32,4
2006,10,SC,C,90193.21,579,976347.1935,33,4
2006,11,BC,H,63092,338,67181.87,27,4
2006,11,SC,C,75658.79,721,756796.2956,33,4
2006,12,BC,H,62275.9,334,64947.12405,29,4
2006,12,SC,C,37713.28,482,366840.3088,30,4
2007,1,BC,H,75439,363,78714.70559,30,1
2007,1,SC,C,33059.86,484,314392.0275,28,1
2007,2,BC,H,69959.1,330,72811.58155,32,1
2007,2,SC,C,26444.96,370,251875.6,22,1
2007,3,BC,H,64843.8,333,65531.66539,29,1
2007,3,SC,C,20484.64,315,187982.0527,20,1
2007,4,BC,H,64963.17,331,68759.64582,32,2
2007,4,SC,C,16617.74,260,158136.9225,20,2
2007,5,BC,H,67006.83,374,74771.78671,35,2
2007,5,SC,C,6558.25,128,59200.82,16,2
2007,6,BC,H,75364.15,419,89365.23007,32,2
2007,6,SC,C,146,1,1870,1,2
2007,7,BC,H,61702.47,401,73877.641,32,3
2007,8,BC,H,50172.01,322,53558.238,29,3
2007,9,BC,H,34731.79,239,37180.372,23,3
2007,10,BC,H,41844.12,265,44955.781,24,4
2007,10,SC,C,71572.54,433,689045.1538,27,4
2007,11,BC,H,32455.56,235,30624.583,22,4
2007,11,SC,C,101696.62,696,903499.7375,32,4
2007,12,BC,H,28361.9,223,27928.925,22,4
2007,12,SC,C,72794.47,513,557183.6482,32,4
2008,1,BC,H,21377.3,214,22297.115,23,1
2008,1,SC,C,47219.54,372,334390.365,31,1
2008,2,BC,H,30663.31,272,34057.058,24,1
2008,2,SC,C,36620.79,290,240635.1099,28,1
2008,3,BC,H,40741.84,287,46631.102,21,1
2008,3,SC,C,37078.88,313,255626.205,26,1
2008,4,BC,H,33337.28,312,40435.354,25,2
2008,4,SC,C,37762.05,293,272001.9172,26,2
2008,5,BC,H,29840.5,273,37475.12045,22,2
2008,5,SC,C,13364.6,123,92521.4,18,2
2008,6,BC,H,25929.6,249,32252.3,21,2
2008,7,BC,H,23202.1,218,28700.67,21,3
2008,8,BC,H,15546.6,185,23560.45,18,3
2008,9,BC,H,12162.7,161,18770.662,17,3
2008,10,BC,H,13186.4,160,21235.374,17,4
2008,10,SC,C,96502.87,405,585824.3091,32,4
2008,11,BC,H,9877.2,106,15214.45,15,4
2008,11,SC,C,114655.59,470,619092.9804,32,4
2008,12,BC,H,15177.44,122,17883.49,15,4
2008,12,SC,C,77758.89,427,420913.8303,30,4
2009,1,BC,H,25258,186,29653.34,16,1
2009,1,SC,C,28069.56,310,162859.5804,28,1
2009,2,BC,H,28263.15,194,34877.174,23,1
2009,2,SC,C,24131.66,237,142049.2167,27,1
2009,3,BC,H,38125.12,279,51803.55,25,1
2009,3,SC,C,26709.72,291,176976.0866,30,1
2009,4,BC,H,43544.6,318,61059.992,28,2
2009,4,SC,C,31514.61,287,215463.74,27,2
2009,5,BC,H,38699.48,309,55329.63,27,2
2009,5,BC,S,165,1,1221,1,2
2009,5,SC,C,8617.85,127,52958.09047,23,2
2009,6,BC,H,23186.2,212,31477.01,22,2
2009,7,BC,H,18440.4,173,25804.975,22,3
2009,8,BC,H,11409.8,137,16116.995,19,3
2009,9,BC,H,12529,116,19189.614,18,3
2009,10,BC,H,13966,128,21172.01,19,4
2009,10,SC,C,31313.6,310,218329.8462,36,4
2009,11,BC,H,14337.32,136,21201.062,25,4
2009,11,BC,S,2.5,1,5,1,4
2009,11,SC,C,40247.58,407,308795.7695,37,4
2009,12,BC,H,9521.2,96,13603.506,22,4
2009,12,SC,C,68271.18,464,509183.0123,31,4
2010,1,BC,H,13565.63,125,15642.596,20,1
2010,1,SC,C,37171.02,300,287144.9844,32,1
2010,2,BC,H,31341,244,38438.466,26,1
2010,2,BC,S,43.25,12,86.5,1,1
2010,2,SC,C,21958.3,243,167269.1847,33,1
2010,3,BC,H,42616.46,288,66294.331,28,1
2010,3,BC,S,138,4,1149.816,1,1
2010,3,SC,C,20293.05,266,157650.12,29,1
2010,4,BC,H,73215.7,407,107628.535,34,2
2010,4,BC,S,229.25,17,1424.5,3,2
2010,4,SC,C,17008.15,277,134317.9363,27,2
2010,5,BC,H,95103.11,505,143692.9897,35,2
2010,5,BC,S,129,5,916.2,2,2
2010,5,SC,C,9406.07,170,79175.45591,27,2
2010,6,BC,H,70023.92,395,99180.577,34,2
2010,6,BC,S,51.75,2,460.98,2,2
2010,7,BC,H,77855.4,444,111264.03,33,3
2010,7,BC,S,32,2,288,1,3
2010,8,BC,H,64053.4,392,89533.29,34,3
2010,9,BC,H,53747.41,366,74678.258,32,3
2010,10,BC,H,52929.71,336,71636.95026,30,4
2010,10,SC,C,27672.9,322,248813.405,34,4
2010,11,BC,H,51169.86,303,68310.75245,33,4
2010,11,SC,C,84016.37,693,761412.895,40,4
2010,12,BC,H,35734.67,217,39306.742,25,4
2010,12,SC,C,60088.5,402,495083.97,35,4
2011,1,BC,H,61104.01,316,76376.936,30,1
2011,1,SC,C,12306.7,227,104327.9945,30,1
2011,2,BC,H,59394.6,360,77589.5,31,1
2011,2,BC,S,23.25,5,46.5,1,1
2011,2,SC,C,16453.7,258,137785.9163,28,1
2011,3,BC,H,63315.03,408,82945.083,33,1
2011,3,BC,S,9.25,3,18.5,1,1
2011,3,SC,C,11275.2,197,103600.8463,25,1
2011,4,BC,H,65504.44,411,86556.954,31,2
2011,4,BC,S,121,2,1088,2,2
2011,4,SC,C,15063.25,214,136558.4809,25,2
2011,5,BC,H,64137.87,403,84216.572,31,2
2011,5,SC,C,6396.49,101,54922.5551,21,2
2011,6,BC,H,60229,367,79290.04,27,2
2011,7,BC,H,47781.3,277,61544.285,26,3
2011,7,BC,S,120,1,1080,1,3
2011,8,BC,H,55650.67,364,70909.633,25,3
2011,8,BC,S,27,8,54,1,3
2011,9,BC,H,46873.35,336,55133.438,26,3
2011,9,BC,S,42,10,84,1,3
2011,10,BC,H,31308.62,277,37995.31,24,4
2011,10,BC,S,5.5,2,11,1,4
2011,10,SC,C,19626.52,228,181520.2964,31,4
2011,11,BC,H,23791.04,242,30463.35,22,4
2011,11,SC,C,22803.97,280,201961.2664,31,4
2011,12,BC,H,17159.65,211,22166.55,20,4
2011,12,SC,C,35578.04,383,309465.4859,34,4
2012,1,BC,H,25285.91,248,34951.562,23,1
2012,1,SC,C,24851.27,304,221660.6218,34,1
2012,2,BC,H,50120.14,369,71976.554,25,1
2012,2,BC,S,28.25,6,56.5,1,1
2012,2,SC,C,19067.35,254,174499.5315,34,1
2012,3,BC,H,66301.6,463,89093.119,27,1
2012,3,SC,C,17337.09,220,156293.985,28,1
2012,4,BC,H,62492.29,432,86753.966,29,2
2012,4,SC,C,11816.87,175,108971.34,22,2
2012,5,BC,H,78965.8,515,108210.351,30,2
2012,5,BC,S,17.5,4,35,1,2
2012,5,SC,C,3697.45,79,35760.05,20,2
2012,6,BC,H,67917.08,417,93999.448,26,2
2012,7,BC,H,57673.02,422,81133.64,23,3
2012,8,BC,H,28158.76,291,41360.156,22,3
2012,9,BC,H,20811.61,214,30595.548,19,3
2012,10,BC,H,14409.11,150,19861.091,16,4
2012,10,SC,C,44592.36,308,409440.4179,36,4
2012,11,BC,H,11325.35,107,13855.45,16,4
2012,11,BC,S,22.5,1,82.53,1,4
2012,11,SC,C,89868.69,606,782026.2002,42,4
2012,12,BC,H,13908.72,137,15877.3,15,4
2012,12,SC,C,15129.98,244,140945.522,33,4
2013,1,BC,H,27653.21,266,39231.715,25,1
2013,1,SC,C,9959.34,173,98635.145,28,1
2013,2,BC,H,51553.73,327,76582.184,26,1
2013,2,BC,S,74.5,18,334,2,1
2013,2,SC,C,9324.86,147,95388.945,20,1
2013,3,BC,H,57672.36,361,79992.776,29,1
2013,3,BC,S,89.75,19,131.404,2,1
2013,3,SC,C,14388.5,173,151046.38,21,1
2013,4,BC,H,55357.84,383,81464.507,31,2
2013,4,BC,S,149.25,22,872.664,2,2
2013,4,SC,C,7487.88,153,77980.21,20,2
2013,5,BC,H,51239.46,444,79147.758,27,2
2013,5,BC,S,267.75,25,1984.62,3,2
2013,5,SC,C,3711.84,70,35206.55,19,2
2013,6,BC,H,42227.84,394,67261.1005,27,2
2013,6,BC,S,109.25,18,653.02,2,2
2013,7,BC,H,26442.93,262,42952.4695,23,3
2013,7,BC,S,30,1,200.4,1,3
2013,8,BC,H,38903.48,345,62044.999,21,3
2013,8,BC,S,111.9,9,1491.8508,1,3
2013,9,BC,H,36197.59,324,58614.0915,23,3
2013,9,BC,S,112.5,8,1300.29,2,3
2013,9,SC,C,269,8,3760,1,3
2013,10,BC,H,33991.76,293,53728.922,21,4
2013,10,SC,C,18605.9,228,219504.2719,23,4
2013,11,BC,H,19814.95,208,31349.6235,18,4
2013,11,SC,C,34110.05,378,427178.5966,26,4
2013,12,BC,H,16966.42,183,27354.312,15,4
2013,12,SC,C,32264.95,414,401816.025,31,4
2014,1,BC,H,31162.06,237,46238.28,19,1
2014,1,SC,C,12765.12,214,170155.4859,28,1
2014,2,BC,H,41371.5,296,71610.381,18,1
2014,2,SC,C,8035.65,186,111636.3658,23,1
2014,3,BC,H,48463.1,367,82427.392,21,1
2014,3,BC,S,22.5,5,150.3,1,1
2014,3,SC,C,4551.76,130,60686.14,19,1
2014,4,BC,H,55519.3,409,95019.773,22,2
2014,4,BC,S,148.5,14,1041.48,2,2
2014,4,SC,C,5255.36,150,67568.565,20,2
2014,5,BC,H,68284.8,445,117369.666,22,2
2014,5,BC,S,319.75,13,2034.78,2,2
2014,5,SC,C,2023.11,64,26256.345,14,2
2014,6,BC,H,77195.45,458,133833.5885,20,2
2014,6,BC,S,165.5,12,1105.54,1,2
2014,7,BC,H,88212.14,486,154469.619,19,3
2014,7,BC,S,30,4,200.4,1,3
2014,8,BC,H,55336.65,404,95434.4125,20,3
2014,8,BC,S,27,2,180.36,1,3
2014,9,BC,H,37934.81,325,63049.9965,18,3
2014,10,BC,H,30195.4,272,48700.446,16,4
2014,10,SC,C,25304.36,289,411781.4477,27,4
2014,11,BC,H,17089.7,140,26744.592,15,4
2014,11,SC,C,25348.17,309,372901.3066,25,4
2014,12,BC,H,17445,148,28658.052,19,4
2014,12,SC,C,20042.37,261,289752.1052,28,4
2015,1,BC,H,21942.3,207,35187.568,21,1
2015,1,SC,C,16113.38,243,225378.8818,27,1
2015,2,BC,H,33024.9,264,53612.45,23,1
2015,2,SC,C,9267.23,173,126278.2249,24,1
2015,3,BC,H,47861.01,360,78043.4115,24,1
2015,3,SC,C,12617.14,227,174772.6835,25,1
2015,4,BC,H,53067.9,377,91000.188,26,2
2015,4,BC,S,58.5,7,390.78,1,2
2015,4,SC,C,13612.95,233,196145.6741,25,2
2015,5,BC,H,47215.6,386,78170.822,27,2
2015,5,BC,S,123,8,821.64,1,2
2015,5,SC,C,6068.31,134,83959.61749,22,2
2015,6,BC,H,36853,296,58907.654,24,2
2015,6,BC,S,78,8,521.04,1,2
2015,7,BC,H,22790.43,199,34543.1025,21,3
2015,8,BC,H,29683.7,269,45076.448,20,3
2015,9,BC,H,25801.2,237,38122.43,24,3
2015,10,BC,H,24469.6,216,37790.806,19,4
2015,10,SC,C,44971.87,327,669773.2337,28,4
2015,11,BC,H,13836.5,162,20516.918,18,4
2015,11,SC,C,57731.17,412,680971.6495,29,4
2015,12,BC,H,12021,153,19610.962,18,4
2015,12,SC,C,60042.53,406,626958.1701,30,4
2016,1,BC,H,14210.3,156,20193.214,20,1
2016,1,SC,C,30695.99,316,297254.7553,31,1
2016,2,BC,H,29811,231,47419.468,21,1
2016,2,SC,C,19740.77,256,178390.5948,23,1
2016,3,BC,H,48677.9,378,89351.041,27,1
2016,3,BC,S,81,3,541.08,1,1
2016,3,SC,C,13837.25,219,122884.0611,22,1
2016,4,BC,H,51438.8,405,88032.602,29,2
2016,4,BC,S,240.25,10,1604.87,1,2
2016,4,SC,C,10693.3,192,100158.0016,23,2
2016,5,BC,H,65646.94,438,111424.865,29,2
2016,5,BC,S,258.75,10,1728.45,1,2
2016,5,SC,C,6260.97,103,63887.19,18,2
2016,6,BC,H,56772.9,410,98006.695,25,2
2016,6,BC,S,187.75,7,1254.17,1,2
2016,6,SC,C,260,1,4160,1,2
2016,7,BC,H,50912.1,362,83535.236,24,3
2016,7,BC,S,381,8,2399.05,1,3
2016,8,BC,H,49409.83,361,82613.609,27,3
2016,9,BC,H,39794.8,307,68468.772,25,3
2016,10,BC,H,28924.1,243,49374.047,23,4
2016,10,SC,C,54853.11,329,644665.3086,27,4
2016,11,BC,H,18959.8,154,32159.97,20,4
2016,11,SC,C,77554.16,496,769062.0788,28,4
2016,12,BC,H,19573.4,137,31570.046,24,4
2016,12,SC,C,24082.13,278,227548.6851,30,4
2017,1,BC,H,38560.1,242,55666.65,29,1
2017,1,SC,C,15722.26,216,154781.4071,28,1
2017,2,BC,H,56191.4,339,90463.6,33,1
2017,2,SC,C,20462.9,251,205823.5009,30,1
2017,3,BC,H,73622.91,406,129846.975,28,1
2017,3,BC,S,65.75,5,832.88,1,1
2017,3,SC,C,21025.87,222,206577.4045,25,1
2017,4,BC,H,63748.6,417,112658.8,31,2
2017,4,BC,S,21,3,192.36,2,2
2017,4,SC,C,10769.03,149,103717.4365,22,2
2017,5,BC,H,59435,417,108539.35,26,2
2017,5,BC,S,24.75,3,252.52,2,2
2017,5,SC,C,4552.1,115,45804.72922,18,2
2017,6,BC,H,45173.38,340,84586.46,26,2
2017,6,BC,S,19.25,3,154,1,2
2017,7,BC,H,28900.73,254,55680.085,21,3
2017,8,BC,H,36992.6,301,68986,20,3
2017,9,BC,H,29536.13,240,49782.456,18,3
2017,10,BC,H,34371.8,266,63502.62,22,4
2017,10,SC,C,23830.22,236,322819.8254,27,4
2017,11,BC,H,21282.18,181,40311.85,22,4
2017,11,SC,C,18726.68,273,267992.3238,29,4
2017,12,BC,H,14898,146,25808.21,20,4
2017,12,SC,C,22625.73,304,340096.0578,30,4
2002,6,SC,C,0,0,0,0,2
2003,6,SC,C,0,0,0,0,2
2004,6,SC,C,0,0,0,0,2
2005,6,SC,C,0,0,0,0,2
2006,6,SC,C,0,0,0,0,2
2008,6,SC,C,0,0,0,0,2
2009,6,SC,C,0,0,0,0,2
2010,6,SC,C,0,0,0,0,2
2011,6,SC,C,0,0,0,0,2
2012,6,SC,C,0,0,0,0,2
2013,6,SC,C,0,0,0,0,2
2014,6,SC,C,0,0,0,0,2
2015,6,SC,C,0,0,0,0,2
2017,6,SC,C,0,0,0,0,2
2002,7,SC,C,0,0,0,0,3
2003,7,SC,C,0,0,0,0,3
2004,7,SC,C,0,0,0,0,3
2005,7,SC,C,0,0,0,0,3
2006,7,SC,C,0,0,0,0,3
2007,7,SC,C,0,0,0,0,3
2008,7,SC,C,0,0,0,0,3
2009,7,SC,C,0,0,0,0,3
2010,7,SC,C,0,0,0,0,3
2011,7,SC,C,0,0,0,0,3
2012,7,SC,C,0,0,0,0,3
2013,7,SC,C,0,0,0,0,3
2014,7,SC,C,0,0,0,0,3
2015,7,SC,C,0,0,0,0,3
2016,7,SC,C,0,0,0,0,3
2017,7,SC,C,0,0,0,0,3
2002,8,SC,C,0,0,0,0,3
2003,8,SC,C,0,0,0,0,3
2004,8,SC,C,0,0,0,0,3
2005,8,SC,C,0,0,0,0,3
2006,8,SC,C,0,0,0,0,3
2007,8,SC,C,0,0,0,0,3
2008,8,SC,C,0,0,0,0,3
2009,8,SC,C,0,0,0,0,3
2010,8,SC,C,0,0,0,0,3
2011,8,SC,C,0,0,0,0,3
2012,8,SC,C,0,0,0,0,3
2013,8,SC,C,0,0,0,0,3
2014,8,SC,C,0,0,0,0,3
2015,8,SC,C,0,0,0,0,3
2016,8,SC,C,0,0,0,0,3
2017,8,SC,C,0,0,0,0,3
2002,9,SC,C,0,0,0,0,3
2003,9,SC,C,0,0,0,0,3
2004,9,SC,C,0,0,0,0,3
2005,9,SC,C,0,0,0,0,3
2006,9,SC,C,0,0,0,0,3
2007,9,SC,C,0,0,0,0,3
2008,9,SC,C,0,0,0,0,3
2009,9,SC,C,0,0,0,0,3
2010,9,SC,C,0,0,0,0,3
2011,9,SC,C,0,0,0,0,3
2012,9,SC,C,0,0,0,0,3
2014,9,SC,C,0,0,0,0,3
2015,9,SC,C,0,0,0,0,3
2016,9,SC,C,0,0,0,0,3
2017,9,SC,C,0,0,0,0,3
