"Year","Month","PV","MonYr"
"2003",1,0,"1/2003"
"2004",1,0.699,"1/2004"
"2005",1,0.097,"1/2005"
"2006",1,0,"1/2006"
"2007",1,0.255,"1/2007"
"2008",1,0,"1/2008"
"2009",1,0,"1/2009"
"2010",1,0,"1/2010"
"2011",1,0,"1/2011"
"2012",1,0,"1/2012"
"2013",1,0,"1/2013"
"2014",1,0,"1/2014"
"2015",1,0,"1/2015"
"2016",1,0,"1/2016"
"2017",1,0,"1/2017"
"2003",2,0.599,"2/2003"
"2004",2,0.176,"2/2004"
"2005",2,0.703,"2/2005"
"2006",2,0.301,"2/2006"
"2007",2,0.279,"2/2007"
"2008",2,0,"2/2008"
"2009",2,0,"2/2009"
"2010",2,0.041,"2/2010"
"2011",2,0,"2/2011"
"2012",2,0,"2/2012"
"2013",2,0,"2/2013"
"2014",2,0,"2/2014"
"2015",2,0,"2/2015"
"2016",2,0,"2/2016"
"2017",2,0,"2/2017"
"2003",3,0.176,"3/2003"
"2004",3,0,"3/2004"
"2005",3,0.255,"3/2005"
"2006",3,0.342,"3/2006"
"2007",3,0.519,"3/2007"
"2008",3,0,"3/2008"
"2009",3,0.415,"3/2009"
"2010",3,0,"3/2010"
"2011",3,0,"3/2011"
"2012",3,0.398,"3/2012"
"2013",3,0,"3/2013"
"2014",3,0,"3/2014"
"2015",3,0,"3/2015"
"2016",3,0,"3/2016"
"2017",3,0,"3/2017"
"2003",4,0.37,"4/2003"
"2004",4,0.929,"4/2004"
"2005",4,0.602,"4/2005"
"2006",4,0,"4/2006"
"2007",4,0.778,"4/2007"
"2008",4,0.477,"4/2008"
"2009",4,0.477,"4/2009"
"2010",4,0,"4/2010"
"2011",4,0,"4/2011"
"2012",4,0,"4/2012"
"2013",4,0,"4/2013"
"2014",4,0,"4/2014"
"2015",4,0,"4/2015"
"2016",4,0,"4/2016"
"2017",4,0,"4/2017"
"2002",5,0.243,"5/2002"
"2003",5,0.23,"5/2003"
"2004",5,0,"5/2004"
"2005",5,0.778,"5/2005"
"2006",5,0,"5/2006"
"2007",5,0.079,"5/2007"
"2008",5,0.588,"5/2008"
"2009",5,0,"5/2009"
"2010",5,0.301,"5/2010"
"2011",5,0,"5/2011"
"2012",5,0,"5/2012"
"2013",5,0,"5/2013"
"2014",5,0,"5/2014"
"2015",5,0,"5/2015"
"2016",5,0,"5/2016"
"2017",5,0,"5/2017"
"2002",6,0.849,"6/2002"
"2003",6,0.573,"6/2003"
"2004",6,0,"6/2004"
"2005",6,0,"6/2005"
"2006",6,0.602,"6/2006"
"2007",6,0.477,"6/2007"
"2008",6,0,"6/2008"
"2009",6,0,"6/2009"
"2010",6,0,"6/2010"
"2011",6,0,"6/2011"
"2012",6,0,"6/2012"
"2013",6,0,"6/2013"
"2014",6,0,"6/2014"
"2015",6,0,"6/2015"
"2016",6,0,"6/2016"
"2017",6,0,"6/2017"
"2002",7,0,"7/2002"
"2003",7,0.602,"7/2003"
"2004",7,0,"7/2004"
"2005",7,0.954,"7/2005"
"2006",7,0,"7/2006"
"2007",7,0.301,"7/2007"
"2008",7,0.23,"7/2008"
"2009",7,0,"7/2009"
"2010",7,0.114,"7/2010"
"2011",7,0,"7/2011"
"2012",7,0,"7/2012"
"2013",7,0,"7/2013"
"2014",7,0.176,"7/2014"
"2015",7,0,"7/2015"
"2016",7,0,"7/2016"
"2017",7,0,"7/2017"
"2002",8,1.322,"8/2002"
"2003",8,0.504,"8/2003"
"2004",8,0,"8/2004"
"2005",8,0.522,"8/2005"
"2006",8,0,"8/2006"
"2007",8,1.161,"8/2007"
"2008",8,0,"8/2008"
"2009",8,0.498,"8/2009"
"2010",8,0,"8/2010"
"2011",8,0,"8/2011"
"2012",8,0,"8/2012"
"2013",8,0.204,"8/2013"
"2014",8,0,"8/2014"
"2015",8,0,"8/2015"
"2016",8,0,"8/2016"
"2017",8,0,"8/2017"
"2002",9,0.161,"9/2002"
"2003",9,0.519,"9/2003"
"2004",9,0,"9/2004"
"2005",9,1.322,"9/2005"
"2006",9,0,"9/2006"
"2007",9,0,"9/2007"
"2008",9,0,"9/2008"
"2009",9,0,"9/2009"
"2010",9,0,"9/2010"
"2011",9,0,"9/2011"
"2012",9,0,"9/2012"
"2013",9,0.146,"9/2013"
"2014",9,0,"9/2014"
"2015",9,0,"9/2015"
"2016",9,0,"9/2016"
"2017",9,0,"9/2017"
"2002",10,0.508,"10/2002"
"2003",10,1.002,"10/2003"
"2004",10,0,"10/2004"
"2005",10,0.753,"10/2005"
"2006",10,1.114,"10/2006"
"2007",10,0.114,"10/2007"
"2008",10,0,"10/2008"
"2009",10,0.218,"10/2009"
"2010",10,0,"10/2010"
"2011",10,0.004,"10/2011"
"2012",10,0,"10/2012"
"2013",10,0,"10/2013"
"2014",10,0,"10/2014"
"2015",10,0,"10/2015"
"2016",10,0,"10/2016"
"2017",10,0,"10/2017"
"2002",11,0.389,"11/2002"
"2003",11,0.176,"11/2003"
"2004",11,1.114,"11/2004"
"2005",11,0.845,"11/2005"
"2006",11,0,"11/2006"
"2007",11,0,"11/2007"
"2008",11,0.342,"11/2008"
"2009",11,0,"11/2009"
"2010",11,0,"11/2010"
"2011",11,0,"11/2011"
"2012",11,0,"11/2012"
"2013",11,0.051,"11/2013"
"2014",11,0,"11/2014"
"2015",11,0,"11/2015"
"2016",11,0,"11/2016"
"2017",11,0,"11/2017"
"2002",12,0.453,"12/2002"
"2003",12,0.35,"12/2003"
"2004",12,0.477,"12/2004"
"2005",12,0.622,"12/2005"
"2006",12,0.778,"12/2006"
"2007",12,1.204,"12/2007"
"2008",12,0.255,"12/2008"
"2009",12,0,"12/2009"
"2010",12,0,"12/2010"
"2011",12,0,"12/2011"
"2012",12,0,"12/2012"
"2013",12,0,"12/2013"
"2014",12,0,"12/2014"
"2015",12,0,"12/2015"
"2016",12,0,"12/2016"
"2017",12,0,"12/2017"
