"Year","Month","Bay","MonYr","Season","Station","Traps","Crabs","CPUE","log"
2002,5,"MTB","2-May","2","AB",20,14,0.7,0.230448921378274
2002,5,"MTB","2-May","2","BH",20,80,4,0.698970004336019
2002,5,"OTB","2-May","2","AR",20,38,1.9,0.462397997898956
2002,6,"MTB","2-Jun","2","AB",20,10,0.5,0.176091259055681
2002,6,"MTB","2-Jun","2","BH",20,56,2.8,0.57978359661681
2002,6,"OTB","2-Jun","2","AR",20,24,1.2,0.342422680822206
2002,7,"MTB","2-Jul","3","AB",25,1,0.04,0.0170333392987804
2002,7,"MTB","2-Jul","3","BH",25,54,2.16,0.499687082618404
2002,7,"OTB","2-Jul","3","AR",25,13,0.52,0.181843587944773
2002,8,"MTB","2-Aug","3","AB",20,2,0.1,0.0413926851582251
2002,8,"MTB","2-Aug","3","BH",20,33,1.65,0.423245873936808
2002,8,"OTB","2-Aug","3","AR",20,3,0.15,0.0606978403536116
2002,9,"MTB","2-Sep","3","AB",20,5,0.25,0.0969100130080564
2002,9,"MTB","2-Sep","3","BH",20,1,0.05,0.0211892990699381
2002,9,"OTB","2-Sep","3","AR",20,1,0.05,0.0211892990699381
2002,10,"MTB","2-Oct","4","AB",25,3,0.12,0.0492180226701817
2002,10,"MTB","2-Oct","4","BH",25,4,0.16,0.0644579892269184
2002,10,"OTB","2-Oct","4","AR",25,1,0.04,0.0170333392987804
2002,11,"MTB","2-Nov","4","AB",20,12,0.6,0.204119982655925
2002,11,"MTB","2-Nov","4","BH",20,1,0.05,0.0211892990699381
2002,11,"OTB","2-Nov","4","AR",20,6,0.3,0.113943352306837
2002,12,"MTB","2-Dec","4","AB",15,8,0.533333333333333,0.185636576961912
2002,12,"MTB","2-Dec","4","BH",15,0,0,0
2002,12,"OTB","2-Dec","4","AR",15,23,1.53333333333333,0.403692337561129
2003,1,"MTB","3-Jan","1","AB",15,13,0.866666666666667,0.271066772286538
2003,1,"MTB","3-Jan","1","BH",15,2,0.133333333333333,0.0543576623225927
2003,1,"OTB","3-Jan","1","AR",15,19,1.26666666666667,0.355387657986574
2003,2,"MTB","3-Feb","1","AB",20,23,1.15,0.332438459915605
2003,2,"MTB","3-Feb","1","BH",20,12,0.6,0.204119982655925
2003,2,"OTB","3-Feb","1","AR",20,31,1.55,0.406540180433955
2003,3,"MTB","3-Mar","1","AB",20,33,1.65,0.423245873936808
2003,3,"MTB","3-Mar","1","BH",20,19,0.95,0.290034611362518
2003,3,"OTB","3-Mar","1","AR",20,32,1.6,0.414973347970818
2003,4,"MTB","3-Apr","2","AB",20,33,1.65,0.423245873936808
2003,4,"MTB","3-Apr","2","BH",20,25,1.25,0.352182518111362
2003,4,"OTB","3-Apr","2","AR",20,43,2.15,0.4983105537896
2003,5,"MTB","3-May","2","AB",25,37,1.48,0.394451680826216
2003,5,"MTB","3-May","2","BH",25,32,1.28,0.357934847000454
2003,5,"OTB","3-May","2","AR",25,34,1.36,0.372912002970107
2003,6,"MTB","3-Jun","2","AB",20,38,1.9,0.462397997898956
2003,6,"MTB","3-Jun","2","BH",20,32,1.6,0.414973347970818
2003,6,"OTB","3-Jun","2","AR",20,23,1.15,0.332438459915605
2003,7,"MTB","3-Jul","3","AB",25,54,2.16,0.499687082618404
2003,7,"MTB","3-Jul","3","BH",25,33,1.32,0.3654879848909
2003,7,"OTB","3-Jul","3","AR",25,28,1.12,0.326335860928751
2003,8,"MTB","3-Aug","3","AB",20,27,1.35,0.371067862271736
2003,8,"MTB","3-Aug","3","BH",20,27,1.35,0.371067862271736
2003,8,"OTB","3-Aug","3","AR",20,16,0.8,0.255272505103306
2003,9,"MTB","3-Sep","3","AB",20,12,0.6,0.204119982655925
2003,9,"MTB","3-Sep","3","BH",20,10,0.5,0.176091259055681
2003,9,"OTB","3-Sep","3","AR",20,43,2.15,0.4983105537896
2003,10,"MTB","3-Oct","4","AB",20,62,3.1,0.612783856719735
2003,10,"MTB","3-Oct","4","BH",20,23,1.15,0.332438459915605
2003,10,"OTB","3-Oct","4","AR",20,59,2.95,0.59659709562646
2003,11,"MTB","3-Nov","4","AB",20,51,2.55,0.550228353055094
2003,11,"MTB","3-Nov","4","BH",20,35,1.75,0.439332693830263
2003,11,"OTB","3-Nov","4","AR",20,55,2.75,0.574031267727719
2003,12,"MTB","3-Dec","4","AB",25,36,1.44,0.387389826338729
2003,12,"MTB","3-Dec","4","BH",25,25,1,0.301029995663981
2003,12,"OTB","3-Dec","4","AR",25,49,1.96,0.471291711058939
2004,1,"MTB","4-Jan","1","AB",20,27,1.35,0.371067862271736
2004,1,"MTB","4-Jan","1","BH",20,26,1.3,0.361727836017593
2004,1,"OTB","4-Jan","1","AR",20,19,0.95,0.290034611362518
2004,2,"MTB","4-Feb","1","AB",20,29,1.45,0.389166084364532
2004,2,"MTB","4-Feb","1","BH",20,49,2.45,0.537819095073274
2004,2,"OTB","4-Feb","1","AR",20,52,2.6,0.556302500767287
2004,3,"MTB","4-Mar","1","AB",25,43,1.72,0.434568904034199
2004,3,"MTB","4-Mar","1","BH",25,44,1.76,0.440909082065218
2004,3,"OTB","4-Mar","1","AR",25,58,2.32,0.521138083704036
2004,4,"MTB","4-Apr","2","AB",20,46,2.3,0.518513939877887
2004,4,"MTB","4-Apr","2","BH",20,31,1.55,0.406540180433955
2004,4,"OTB","4-Apr","2","AR",20,39,1.95,0.469822015978163
2004,5,"MTB","4-May","2","AB",20,38,1.9,0.462397997898956
2004,5,"MTB","4-May","2","BH",20,42,2.1,0.491361693834273
2004,5,"OTB","4-May","2","AR",20,42,2.1,0.491361693834273
2004,6,"MTB","4-Jun","2","AB",25,49,1.96,0.471291711058939
2004,6,"MTB","4-Jun","2","BH",25,36,1.44,0.387389826338729
2004,6,"OTB","4-Jun","2","AR",25,45,1.8,0.447158031342219
2004,7,"MTB","4-Jul","3","AB",20,31,1.55,0.406540180433955
2004,7,"MTB","4-Jul","3","BH",20,30,1.5,0.397940008672038
2004,7,"OTB","4-Jul","3","AR",20,55,2.75,0.574031267727719
2004,8,"MTB","4-Aug","3","AB",25,12,0.48,0.170261715394957
2004,8,"MTB","4-Aug","3","BH",25,42,1.68,0.428134794028789
2004,8,"OTB","4-Aug","3","AR",25,13,0.52,0.181843587944773
2004,9,"MTB","4-Sep","3","AB",20,17,0.85,0.267171728403014
2004,9,"MTB","4-Sep","3","BH",20,23,1.15,0.332438459915605
2004,9,"OTB","4-Sep","3","AR",20,32,1.6,0.414973347970818
2004,10,"MTB","4-Oct","4","AB",20,33,1.65,0.423245873936808
2004,10,"MTB","4-Oct","4","BH",20,39,1.95,0.469822015978163
2004,10,"OTB","4-Oct","4","AR",20,132,6.6,0.880813592280791
2004,11,"MTB","4-Nov","4","AB",20,81,4.05,0.703291378118661
2004,11,"MTB","4-Nov","4","BH",20,29,1.45,0.389166084364532
2004,11,"OTB","4-Nov","4","AR",20,125,6.25,0.860338006570994
2004,12,"MTB","4-Dec","4","AB",25,56,2.24,0.510545010206612
2004,12,"MTB","4-Dec","4","BH",25,23,0.92,0.28330122870355
2004,12,"OTB","4-Dec","4","AR",25,73,2.92,0.593286067020457
2005,1,"MTB","5-Jan","1","AB",20,30,1.5,0.397940008672038
2005,1,"MTB","5-Jan","1","BH",19,10,0.526315789473684,0.183644396946127
2005,1,"OTB","5-Jan","1","AR",19,33,1.73684210526316,0.43724974268197
2005,2,"MTB","5-Feb","1","AB",20,29,1.45,0.389166084364532
2005,2,"MTB","5-Feb","1","BH",20,20,1,0.301029995663981
2005,2,"OTB","5-Feb","1","AR",20,27,1.35,0.371067862271736
2005,3,"MTB","5-Mar","1","AB",25,52,2.08,0.488550716500444
2005,3,"MTB","5-Mar","1","BH",25,43,1.72,0.434568904034199
2005,3,"OTB","5-Mar","1","AR",23,54,2.34782608695652,0.524762889154889
2005,4,"MTB","5-Apr","2","AB",20,30,1.5,0.397940008672038
2005,4,"MTB","5-Apr","2","BH",20,37,1.85,0.45484486000851
2005,4,"OTB","5-Apr","2","AR",18,51,2.83333333333333,0.583576585633949
2005,5,"MTB","5-May","2","AB",19,29,1.52631578947368,0.402487636422758
2005,5,"MTB","5-May","2","BH",18,31,1.72222222222222,0.434923574925208
2005,5,"OTB","5-May","2","AR",20,69,3.45,0.648360010980932
2005,6,"MTB","5-Jun","2","AB",22,42,1.90909090909091,0.463757293161681
2005,6,"MTB","5-Jun","2","BH",24,35,1.45833333333333,0.390640769930538
2005,6,"OTB","5-Jun","2","AR",24,66,2.75,0.574031267727719
2005,7,"MTB","5-Jul","3","AB",19,44,2.31578947368421,0.520586948500753
2005,7,"MTB","5-Jul","3","BH",15,59,3.93333333333333,0.693140460675295
2005,7,"OTB","5-Jul","3","AR",17,34,2,0.477121254719662
2005,8,"MTB","5-Aug","3","AB",20,38,1.9,0.462397997898956
2005,8,"MTB","5-Aug","3","BH",20,67,3.35,0.638489256954637
2005,8,"OTB","5-Aug","3","AR",19,45,2.36842105263158,0.527426373031058
