"Year","Month","Season","Species","Total","CPUE","logTSC"
2002,1,"1","SC",47768.16,109.56,4.67914760447003
2002,2,"1","SC",26193.58,81.3465217391304,4.41821143942666
2002,3,"1","SC",31249.29,94.6948181818182,4.49485405191419
2002,4,"2","SC",12082.02,54.1794618834081,4.08217549433615
2002,5,"2","SC",6517.34,58.1905357142857,3.81413700974569
2002,6,"2","SC",0,NA,0
2002,7,"3","SC",0,NA,0
2002,8,"3","SC",0,NA,0
2002,9,"3","SC",0,NA,0
2002,10,"4","SC",50667.35,107.346080508475,4.70473676184815
2002,11,"4","SC",82048.34,116.051400282885,4.91407509196424
2002,12,"4","SC",95410.15,145.442301829268,4.9795991304747
2003,1,"1","SC",52818.3,105.215737051793,4.72279264132089
2003,2,"1","SC",36461.61,89.1481907090465,4.56184775230657
2003,3,"1","SC",21886,61.8248587570621,4.34018623791635
2003,4,"2","SC",22272.65,63.0953257790368,4.34779139103359
2003,5,"2","SC",6319.76,45.7953623188406,3.80076930042831
2003,6,"2","SC",0,NA,0
2003,7,"3","SC",0,NA,0
2003,8,"3","SC",0,NA,0
2003,9,"3","SC",0,NA,0
2003,10,"4","SC",36879.34,94.0799489795918,4.56679491616259
2003,11,"4","SC",51672.35,96.9462476547842,4.71326661791015
2003,12,"4","SC",35169.96,82.5585915492958,4.54618422265338
2004,1,"1","SC",20707.88,65.3245425867508,4.31615661154566
2004,2,"1","SC",30551.01,78.7397164948454,4.48503978751452
2004,3,"1","SC",15693.54,53.9296907216495,4.19574859124413
2004,4,"2","SC",13252.81,51.1691505791506,4.12234074047094
2004,5,"2","SC",9293.26,57.7221118012422,3.9682148173774
2004,6,"2","SC",0,NA,0
2004,7,"3","SC",0,NA,0
2004,8,"3","SC",0,NA,0
2004,9,"3","SC",0,NA,0
2004,10,"4","SC",86304.31,182.461543340381,4.93603751683636
2004,11,"4","SC",192399.18,184.11404784689,5.28420547400621
2004,12,"4","SC",74339.83,116.703029827316,4.87122740559489
2005,1,"1","SC",12041.98,49.1509387755102,4.08073396511285
2005,2,"1","SC",8942.05,52.6002941176471,3.95148565887075
2005,3,"1","SC",9493.35,51.3154054054054,3.9774652375221
2005,4,"2","SC",7647.2,43.45,3.88355923619282
2005,5,"2","SC",3399.26,41.9661728395062,3.531512126527
2005,6,"2","SC",0,NA,0
2005,7,"3","SC",0,NA,0
2005,8,"3","SC",0,NA,0
2005,9,"3","SC",0,NA,0
2005,10,"4","SC",29061.41,105.294963768116,4.46333162532
2005,11,"4","SC",32997.02,86.6063517060367,4.51848788142721
2005,12,"4","SC",34024.86,92.4588586956522,4.53180911076103
2006,1,"1","SC",28896.12,107.821343283582,4.46085456142665
2006,2,"1","SC",15753.24,62.5128571428571,4.19739745722329
2006,3,"1","SC",9252.26,48.1888541666667,3.96629476523446
2006,4,"2","SC",7133.37,41.2333526011561,3.85335562880265
2006,5,"2","SC",3816.41,40.6001063829787,3.58176880683805
2006,6,"2","SC",0,NA,0
2006,7,"3","SC",0,NA,0
2006,8,"3","SC",0,NA,0
2006,9,"3","SC",0,NA,0
2006,10,"4","SC",90193.21,155.774110535406,4.95517865898585
2006,11,"4","SC",75658.79,104.935908460472,4.87886513153817
2006,12,"4","SC",37713.28,78.2433195020747,4.57650582105337
2007,1,"1","SC",33059.86,68.3054958677686,4.5193141465251
2007,2,"1","SC",26444.96,71.4728648648649,4.42235933672219
2007,3,"1","SC",20484.64,65.0306031746032,4.31144953646718
2007,4,"2","SC",16617.74,63.9143846153846,4.22059809334756
2007,5,"2","SC",6558.25,51.236328125,3.81685418396673
2007,6,"2","SC",146,146,2.16731733474818
2007,7,"3","SC",0,NA,0
2007,8,"3","SC",0,NA,0
2007,9,"3","SC",0,NA,0
2007,10,"4","SC",71572.54,165.29454965358,4.85475249778465
2007,11,"4","SC",101696.62,146.115833333333,5.00731078937347
2007,12,"4","SC",72794.47,141.89955165692,4.86210435437876
2008,1,"1","SC",47219.54,126.934247311828,4.67413094923316
2008,2,"1","SC",36620.79,126.278586206897,4.56373956793192
2008,3,"1","SC",37078.88,118.462875399361,4.56913831998642
2008,4,"2","SC",37762.05,128.88071672355,4.57706706361005
2008,5,"2","SC",13364.6,108.655284552846,4.12598845960137
2008,6,"2","SC",0,NA,0
2008,7,"3","SC",0,NA,0
2008,8,"3","SC",0,NA,0
2008,9,"3","SC",0,NA,0
2008,10,"4","SC",96502.87,238.278691358025,4.98454472977845
2008,11,"4","SC",114655.59,243.948063829787,5.05939902128476
2008,12,"4","SC",77758.89,182.105128805621,4.89075563756088
2009,1,"1","SC",28069.56,90.5469677419355,4.44825107677708
2009,2,"1","SC",24131.66,101.82135021097,4.38260519425246
2009,3,"1","SC",26709.72,91.7859793814433,4.42668559479084
2009,4,"2","SC",31514.61,109.807003484321,4.49852571752446
2009,5,"2","SC",8617.85,67.8570866141732,3.93544932244045
2009,6,"2","SC",0,NA,0
2009,7,"3","SC",0,NA,0
2009,8,"3","SC",0,NA,0
2009,9,"3","SC",0,NA,0
2009,10,"4","SC",31313.6,101.011612903226,4.49574686857118
2009,11,"4","SC",40247.58,98.888402948403,4.60475056274009
2009,12,"4","SC",68271.18,147.136163793103,4.83424377053668
2010,1,"1","SC",37171.02,123.9034,4.57021616214541
2010,2,"1","SC",21958.3,90.3633744855967,4.34161849192638
2010,3,"1","SC",20293.05,76.2896616541353,4.30736872604431
2010,4,"2","SC",17008.15,61.4012635379061,4.23068261111208
2010,5,"2","SC",9406.07,55.3298235294118,3.97345437571417
2010,6,"2","SC",0,NA,0
2010,7,"3","SC",0,NA,0
2010,8,"3","SC",0,NA,0
2010,9,"3","SC",0,NA,0
2010,10,"4","SC",27672.9,85.9406832298137,4.44207036727707
2010,11,"4","SC",84016.37,121.235743145743,4.92436908267252
2010,12,"4","SC",60088.5,149.473880597015,4.77879859029807
2011,1,"1","SC",12306.7,54.2145374449339,4.09017690178305
2011,2,"1","SC",16453.7,63.7740310077519,4.21628996870075
2011,3,"1","SC",11275.2,57.2345177664975,4.05216277011958
2011,4,"2","SC",15063.25,70.3890186915888,4.17794751443821
2011,5,"2","SC",6396.49,63.3315841584158,3.80600961570839
2011,6,"2","SC",0,NA,0
2011,7,"3","SC",0,NA,0
2011,8,"3","SC",0,NA,0
2011,9,"3","SC",0,NA,0
2011,10,"4","SC",19626.52,86.0812280701754,4.29286542856808
2011,11,"4","SC",22803.97,81.44275,4.35802950526176
2011,12,"4","SC",35578.04,92.8930548302872,4.55119422569486
2012,1,"1","SC",24851.27,81.7475986842105,4.39536606322826
2012,2,"1","SC",19067.35,75.0683070866142,4.2803131148133
2012,3,"1","SC",17337.09,78.8049545454545,4.23900125299321
2012,4,"2","SC",11816.87,67.5249714285714,4.07253920830457
2012,5,"2","SC",3697.45,46.803164556962,3.56801975177366
2012,6,"2","SC",0,NA,0
2012,7,"3","SC",0,NA,0
2012,8,"3","SC",0,NA,0
2012,9,"3","SC",0,NA,0
2012,10,"4","SC",44592.36,144.78038961039,4.64927019660355
2012,11,"4","SC",89868.69,148.298168316832,4.95361324362097
2012,12,"4","SC",15129.98,62.0081147540984,4.17986705722405
2013,1,"1","SC",9959.34,57.5684393063584,3.9982741634843
2013,2,"1","SC",9324.86,63.4344217687075,3.96968889152981
2013,3,"1","SC",14388.5,83.1705202312139,4.15804570352566
2013,4,"2","SC",7487.88,48.9403921568627,3.87441687161262
2013,5,"2","SC",3711.84,53.0262857142857,3.56970623427482
2013,6,"2","SC",0,NA,0
2013,7,"3","SC",0,NA,0
2013,8,"3","SC",0,NA,0
2013,9,"3","SC",269,33.625,2.43136376415899
2013,10,"4","SC",18605.9,81.6048245614035,4.26967402358543
2013,11,"4","SC",34110.05,90.2382275132275,4.53289508798516
2013,12,"4","SC",32264.95,77.9346618357488,4.50874445647814
2014,1,"1","SC",12765.12,59.6500934579439,4.10605892242912
2014,2,"1","SC",8035.65,43.2024193548387,3.90507505500468
2014,3,"1","SC",4551.76,35.0135384615385,3.65827475695812
2014,4,"2","SC",5255.36,35.0357333333333,3.72068510173046
2014,5,"2","SC",2023.11,31.61109375,3.30623411048737
2014,6,"2","SC",0,NA,0
2014,7,"3","SC",0,NA,0
2014,8,"3","SC",0,NA,0
2014,9,"3","SC",0,NA,0
2014,10,"4","SC",25304.36,87.558339100346,4.40321252006415
2014,11,"4","SC",25348.17,82.0329126213592,4.40396374393282
2014,12,"4","SC",20042.37,76.7906896551724,4.30197074361028
2015,1,"1","SC",16113.38,66.3102057613169,4.20721360071037
2015,2,"1","SC",9267.23,53.5678034682081,3.96699680268499
2015,3,"1","SC",12617.14,55.5821145374449,4.10099534165375
2015,4,"2","SC",13612.95,58.424678111588,4.1339841512367
2015,5,"2","SC",6068.31,45.2858955223881,3.78313932036262
2015,6,"2","SC",0,NA,0
2015,7,"3","SC",0,NA,0
2015,8,"3","SC",0,NA,0
2015,9,"3","SC",0,NA,0
2015,10,"4","SC",44971.87,137.528654434251,4.65295060349836
2015,11,"4","SC",57731.17,140.124199029126,4.76141788178954
2015,12,"4","SC",60042.53,147.888004926108,4.77846621679001
2016,1,"1","SC",30695.99,97.1392088607595,4.48709579272544
2016,2,"1","SC",19740.77,77.1123828125,4.2953860878864
2016,3,"1","SC",13837.25,63.1837899543379,4.1410811722452
2016,4,"2","SC",10693.3,55.6942708333333,4.029152362906
2016,5,"2","SC",6260.97,60.7861165048544,3.79671098265719
2016,6,"2","SC",260,260,2.41664050733828
2016,7,"3","SC",0,NA,0
2016,8,"3","SC",0,NA,0
2016,9,"3","SC",0,NA,0
2016,10,"4","SC",54853.11,166.726778115502,4.73920917308574
2016,11,"4","SC",77554.16,156.359193548387,4.88961069815189
2016,12,"4","SC",24082.13,86.6263669064748,4.38171292998571
2017,1,"1","SC",15722.26,72.7882407407407,4.19654259597995
2017,2,"1","SC",20462.9,81.5254980079681,4.31098840489287
2017,3,"1","SC",21025.87,94.7111261261261,4.32277462965745
2017,4,"2","SC",10769.03,72.2753691275168,4.03221691303023
2017,5,"2","SC",4552.1,39.5834782608696,3.65830718884789
2017,6,"2","SC",0,NA,0
2017,7,"3","SC",0,NA,0
2017,8,"3","SC",0,NA,0
2017,9,"3","SC",0,NA,0
2017,10,"4","SC",23830.22,100.975508474576,4.37714627590523
2017,11,"4","SC",18726.68,68.5958974358974,4.2724839799591
2017,12,"4","SC",22625.73,74.4267434210526,4.35462179453935
